year,reference_code,local_reference,objectID,title,collection,collection_canonical,currency,price,price_eur,market,url,url_full
2026,CRWGSA0098,WGSA0098,CRWGSA0098,Montre Santos-Dumont,Santos de Cartier,Santos,EUR,17400.0,17400.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGSA0098,https://www.cartier.com/fr-fr/product/CRWGSA0098
2026,CRWGSA0028,WGSA0028,CRWGSA0028,Montre Santos de Cartier,Santos de Cartier,Santos,EUR,18600.0,18600.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGSA0028,https://www.cartier.com/fr-fr/product/CRWGSA0028
2026,CRWGTA0134,WGTA0134,CRWGTA0134,Montre Tank Américaine,Tank,Tank,EUR,18800.0,18800.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGTA0134,https://www.cartier.com/fr-fr/product/CRWGTA0134
2026,CRWGSA0112,WGSA0112,CRWGSA0112,Montre Santos-Dumont,Santos de Cartier,Santos,EUR,19400.0,19400.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGSA0112,https://www.cartier.com/fr-fr/product/CRWGSA0112
2026,CRWJBA0053,WJBA0053,CRWJBA0053,Montre Baignoire,Baignoire,Other,EUR,21400.0,21400.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJBA0053,https://www.cartier.com/fr-fr/product/CRWJBA0053
2026,CRWJTA0059,WJTA0059,CRWJTA0059,Montre Tank Américaine,Tank,Tank,EUR,22200.0,22200.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJTA0059,https://www.cartier.com/fr-fr/product/CRWJTA0059
2026,CRWGSA0019,WGSA0019,CRWGSA0019,Montre Santos de Cartier,Santos de Cartier,Santos,EUR,22400.0,22400.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGSA0019,https://www.cartier.com/fr-fr/product/CRWGSA0019
2026,CRWJTA0037,WJTA0037,CRWJTA0037,Montre Tank Louis Cartier,Tank,Tank,EUR,22500.0,22500.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJTA0037,https://www.cartier.com/fr-fr/product/CRWJTA0037
2026,CRWJBB0080,WJBB0080,CRWJBB0080,Montre Ballon Bleu de Cartier,Ballon Bleu de Cartier,Ballon Bleu,EUR,26200.0,26200.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJBB0080,https://www.cartier.com/fr-fr/product/CRWJBB0080
2026,CRWGPN0061,WGPN0061,CRWGPN0061,Montre Panthère de Cartier,Panthère de Cartier,Panthère,EUR,30500.0,30500.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGPN0061,https://www.cartier.com/fr-fr/product/CRWGPN0061
2026,CRWJPN0087,WJPN0087,CRWJPN0087,Montre Panthère De Cartier PM,Panthère de Cartier,Panthère,EUR,30800.0,30800.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJPN0087,https://www.cartier.com/fr-fr/product/CRWJPN0087
2026,CRWJPN0058,WJPN0058,CRWJPN0058,Montre Panthère De Cartier PM,Panthère de Cartier,Panthère,EUR,31700.0,31700.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJPN0058,https://www.cartier.com/fr-fr/product/CRWJPN0058
2026,CRWJPN0091,WJPN0091,CRWJPN0091,Montre Panthère De Cartier PM,Panthère de Cartier,Panthère,EUR,32200.0,32200.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJPN0091,https://www.cartier.com/fr-fr/product/CRWJPN0091
2026,CRWJTA0056,WJTA0056,CRWJTA0056,Montre Tank Américaine,Tank,Tank,EUR,35300.0,35300.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJTA0056,https://www.cartier.com/fr-fr/product/CRWJTA0056
2026,CRWJPN0088,WJPN0088,CRWJPN0088,Montre Panthère de Cartier,Panthère de Cartier,Panthère,EUR,35900.0,35900.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWJPN0088,https://www.cartier.com/fr-fr/product/CRWJPN0088
