year,reference_code,collection_canonical,price,price_eur,currency,market,title,url
2026,CRWGBA0077,Other,15900.0,15900.0,EUR,fr-fr,Montre Baignoire,https://www.cartier.com/fr-fr/product/CRWGBA0077
2026,CRWGSA0097,Santos,17400.0,17400.0,EUR,fr-fr,Montre Santos-Dumont,https://www.cartier.com/fr-fr/product/CRWGSA0097
2026,CRWGTA0300,Tank,18800.0,18800.0,EUR,fr-fr,Montre Tank Américaine,https://www.cartier.com/fr-fr/product/CRWGTA0300
2026,CRWGSA0108,Santos,18800.0,18800.0,EUR,fr-fr,Montre Santos-Dumont,https://www.cartier.com/fr-fr/product/CRWGSA0108
2026,CRWGSA0111,Santos,19400.0,19400.0,EUR,fr-fr,Montre Santos-Dumont,https://www.cartier.com/fr-fr/product/CRWGSA0111
2026,CRWJBA0054,Other,21400.0,21400.0,EUR,fr-fr,Montre Baignoire,https://www.cartier.com/fr-fr/product/CRWJBA0054
2026,CRWGPN0048,Panthère,23400.0,23400.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWGPN0048
2026,CRWGTA0405,Tank,23700.0,23700.0,EUR,fr-fr,Montre Tank Américaine,https://www.cartier.com/fr-fr/product/CRWGTA0405
2026,CRWGTA0406,Tank,28100.0,28100.0,EUR,fr-fr,Montre Tank Américaine,https://www.cartier.com/fr-fr/product/CRWGTA0406
2026,CRWGTA0345,Tank,29900.0,29900.0,EUR,fr-fr,Montre Tank Française,https://www.cartier.com/fr-fr/product/CRWGTA0345
2026,CRWGPN0058,Panthère,30500.0,30500.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWGPN0058
2026,CRWJPN0086,Panthère,30800.0,30800.0,EUR,fr-fr,Montre Panthère De Cartier PM,https://www.cartier.com/fr-fr/product/CRWJPN0086
2026,CRWJPN0057,Panthère,31700.0,31700.0,EUR,fr-fr,Montre Panthère De Cartier PM,https://www.cartier.com/fr-fr/product/CRWJPN0057
