reference_code,local_reference,title,price,currency,url,collection,objectID
CRHPI01689,HPI01689,Montre Tressage,43200.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01689,Tressage,CRHPI01689
CRWGMC0003,WGMC0003,Montre Reflection de Cartier (Taille 15),43400.0,EUR,https://www.cartier.com/fr-fr/product/CRWGMC0003,Reflection de Cartier,CRWGMC0003
CRWGSA0095,WGSA0095,Montre Santos de Cartier,43600.0,EUR,https://www.cartier.com/fr-fr/product/CRWGSA0095,Santos de Cartier,CRWGSA0095
CRWGSA0029,WGSA0029,Montre Santos de Cartier,43600.0,EUR,https://www.cartier.com/fr-fr/product/CRWGSA0029,Santos de Cartier,CRWGSA0029
CRWJPN0059,WJPN0059,Montre Panthère de Cartier,48300.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0059,Panthère de Cartier,CRWJPN0059
CRHPI01380,HPI01380,Montre La Panthère de Cartier,51000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01380,La Panthère de Cartier,CRHPI01380
CRWJPN0060,WJPN0060,Montre Panthère de Cartier,58500.0,EUR,https://www.cartier.com/fr-fr/product/CRWJPN0060,Panthère de Cartier,CRWJPN0060
CRHPI01526,HPI01526,Montre La Panthère de Cartier,64000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01526,La Panthère de Cartier,CRHPI01526
CRWJCS0009,WJCS0009,Montre Coussin de Cartier,71500.0,EUR,https://www.cartier.com/fr-fr/product/CRWJCS0009,Coussin de Cartier,CRWJCS0009
CRHPI01537,HPI01537,Montre La Panthère de Cartier,72000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01537,La Panthère de Cartier,CRHPI01537
CRHPI01441,HPI01441,Montre La Panthère de Cartier,89000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01441,La Panthère de Cartier,CRHPI01441
CRHPI01359,HPI01359,Montre Joaillière Panthère,150000.0,EUR,https://www.cartier.com/fr-fr/product/CRHPI01359,Panthère Jewelry Watches,CRHPI01359
CRWGSA0116,WGSA0116,Montre Santos-Dumont,14600.0,EUR,https://www.cartier.com/fr-fr/product/CRWGSA0116,Santos de Cartier,CRWGSA0116
CRWGBA0081,WGBA0081,Montre Baignoire,15900.0,EUR,https://www.cartier.com/fr-fr/product/CRWGBA0081,Baignoire,CRWGBA0081
CRWGBA0080,WGBA0080,Montre Baignoire,15900.0,EUR,https://www.cartier.com/fr-fr/product/CRWGBA0080,Baignoire,CRWGBA0080
CRWGBB0052,WGBB0052,Montre Ballon Bleu de Cartier,16800.0,EUR,https://www.cartier.com/fr-fr/product/CRWGBB0052,Ballon Bleu de Cartier,CRWGBB0052
CRWGSA0098,WGSA0098,Montre Santos-Dumont,17400.0,EUR,https://www.cartier.com/fr-fr/product/CRWGSA0098,Santos de Cartier,CRWGSA0098
CRWGSA0028,WGSA0028,Montre Santos de Cartier,18600.0,EUR,https://www.cartier.com/fr-fr/product/CRWGSA0028,Santos de Cartier,CRWGSA0028
CRWGTA0134,WGTA0134,Montre Tank Américaine,18800.0,EUR,https://www.cartier.com/fr-fr/product/CRWGTA0134,Tank,CRWGTA0134
CRWGSA0112,WGSA0112,Montre Santos-Dumont,19400.0,EUR,https://www.cartier.com/fr-fr/product/CRWGSA0112,Santos de Cartier,CRWGSA0112
CRWJBA0053,WJBA0053,Montre Baignoire,21400.0,EUR,https://www.cartier.com/fr-fr/product/CRWJBA0053,Baignoire,CRWJBA0053
CRWJTA0059,WJTA0059,Montre Tank Américaine,22200.0,EUR,https://www.cartier.com/fr-fr/product/CRWJTA0059,Tank,CRWJTA0059
CRWGSA0019,WGSA0019,Montre Santos de Cartier,22400.0,EUR,https://www.cartier.com/fr-fr/product/CRWGSA0019,Santos de Cartier,CRWGSA0019
