reference_code,title,price,currency,url,collection,objectID
,,,EUR,,,CRN4768000
,,,EUR,,,CRN4765900
,,,EUR,,,CRN4765600
,,,EUR,,,CRN4753300
,,,EUR,,,CRN4753200
,,,EUR,,,CRN4752700
,,,EUR,,,CRN4244700
,,,EUR,,,CRN4224900
,,,EUR,,,CRN4211000
,,,EUR,,,CRB4230300
,,,EUR,,,CRB4221000
,,,EUR,,,CRB4127200
,,,EUR,,,CRB4098900
,,,EUR,,,CRB4080400
,,"8,100€",EUR,,,CRB6049817
,,11000,EUR,,,CRN4766000
,,"11,100€",EUR,,,CRB6085717
,,"11,600€",EUR,,,CRB6046516
,,"12,400€",EUR,,,CRB7224538
,,"17,500€",EUR,,,CRN6719017
,,"26,200€",EUR,,,CRN7424425
,,"27,400€",EUR,,,CRN6715917
,,"32,400€",EUR,,,CRN6725917
,,"48,600€",EUR,,,CRN6723417
,,"49,600€",EUR,,,CRN6719117
,,"53,500€",EUR,,,CRN6718217
,,"59,500€",EUR,,,CRN6716117
,,"62,000€",EUR,,,CRN7424426
,,"64,500€",EUR,,,CRN6725717
,,"68,000€",EUR,,,CRN6722217
,,,EUR,,,CRN4802600
,,,EUR,,,CRN4793900
,,,EUR,,,CRN4780800
,,,EUR,,,CRN4765700
,,,EUR,,,CRN4742200
,,,EUR,,,CRB4230200
,,,EUR,,,CRB4221800
,,,EUR,,,CRB4221400
,,,EUR,,,CRB4221200
,,,EUR,,,CRB4216600
,,,EUR,,,CRB4216400
,,,EUR,,,CRB4098800
,,,EUR,,,CRB4095300
,,,EUR,,,CRB4080500
,,,EUR,,,CRN4804700
,,,EUR,,,CRB4242200
,,,EUR,,,CRB4221900
,,,EUR,,,CRB4216500
,,,EUR,,,CRB4216300
,,,EUR,,,CRB4071400
,,"3,600€",EUR,,,CRB7224808
,,"5,800€",EUR,,,CRB7224807
,,"24,500€",EUR,,,CRN7424444
,,,EUR,,,CRN4814300
,,,EUR,,,CRN4814200
,,,EUR,,,CRN4801600
,,,EUR,,,CRN4778300
,,,EUR,,,CRN4778200
,,,EUR,,,CRN4778100
,,"8,000€",EUR,,,CRN7424481
,,"8,000€",EUR,,,CRB7224895
,,"52,500€",EUR,,,CRN6709817
,,,EUR,,,CRB4231500
,,,EUR,,,CRB4211900
,,"56,000€",EUR,,,CRN6707317
,,"96,000€",EUR,,,CRN6708717
,,,EUR,,,CRN4748700
,,,EUR,,,CRB4231600
,,,EUR,,,CRB4211100
,,"8,000€",EUR,,,CRB7224893
,,"52,500€",EUR,,,CRN6702117
,,"90,000€",EUR,,,CRN6708617
,,,EUR,,,CRN4748600
,,,EUR,,,CRB4231400
,,,EUR,,,CRB4210900
,,"3,550€",EUR,,,CRWSTA0135
,,"3,700€",EUR,,,CRWSTA0116
,,"3,750€",EUR,,,CRWSTA0136
,,"3,900€",EUR,,,CRWSTA0121
,,"3,900€",EUR,,,CRWSTA0108
,,"3,900€",EUR,,,CRWSTA0107
,,"4,150€",EUR,,,CRWSTA0122
,,"4,150€",EUR,,,CRWSTA0106
,,"4,200€",EUR,,,CRWSPN0012
,,"5,400€",EUR,,,CRWSTA0141
,,"5,950€",EUR,,,CRWSPN0015
,,"6,500€",EUR,,,CRW4TA0031
,,"10,500€",EUR,,,CRW4PN0018
,,,EUR,,,CRN4815100
,,,EUR,,,CRN4767700
,,,EUR,,,CRN4747900
,,,EUR,,,CRB4246800
,,,EUR,,,CRB4232900
,,,EUR,,,CRB4225500
,,,EUR,,,CRB4212000
,,,EUR,,,CRB4087000
,,,EUR,,,CRB4086300
,,"16,200€",EUR,,,CRN6703417
,,"27,500€",EUR,,,CRN6707917
,,"30,000€",EUR,,,CRN7424341
,,"30,700€",EUR,,,CRN6710514
,,"39,400€",EUR,,,CRN6708017
,,"42,400€",EUR,,,CRN6738517
,,"55,500€",EUR,,,CRN6708117
,,"62,500€",EUR,,,CRN7424155
,,"93,500€",EUR,,,CRN7424157
,,"127,000€",EUR,,,CRH6020017
,,"128,000€",EUR,,,CRN7424159
,,"130,000€",EUR,,,CRN6700417
,,"139,000€",EUR,,,CRN7424597
,,"140,000€",EUR,,,CRN7408238
,,"141,000€",EUR,,,CRN6722417
,,"164,000€",EUR,,,CRN6720617
,,"186,000€",EUR,,,CRN6721017
,,"271,000€",EUR,,,CRN7424435
,,,EUR,,,CRN4805000
,,,EUR,,,CRN4781000
,,,EUR,,,CRN4767800
,,,EUR,,,CRN4749400
,,,EUR,,,CRN4749200
,,,EUR,,,CRN4744900
,,,EUR,,,CRN4722400
,,,EUR,,,CRN4225200
,,,EUR,,,CRB4225700
,,,EUR,,,CRB4225600
,,,EUR,,,CRB4210400
,,,EUR,,,CRB4077900
,,"3,950€",EUR,,,CRB7224796
,,"15,100€",EUR,,,CRN6703317
,,"21,100€",EUR,,,CRN6728517
,,"24,200€",EUR,,,CRN6714517
,,"25,600€",EUR,,,CRN6708217
,,"32,100€",EUR,,,CRN6715017
,,"36,600€",EUR,,,CRN6708317
,,"39,000€",EUR,,,CRN6723617
,,"41,700€",EUR,,,CRN7424520
,,"58,000€",EUR,,,CRN7424151
,,"78,000€",EUR,,,CRN7424464
,,"86,500€",EUR,,,CRN7424153
,,"119,000€",EUR,,,CRH6020117
,,,EUR,,,CRN4815000
,,,EUR,,,CRN4804900
,,,EUR,,,CRN4796100
,,,EUR,,,CRN4765400
,,,EUR,,,CRN4749300
,,,EUR,,,CRN4749100
,,,EUR,,,CRN4748000
,,,EUR,,,CRN4722700
,,,EUR,,,CRB4230400
,,,EUR,,,CRB4225400
,,,EUR,,,CRB4216700
,,,EUR,,,CRB4210600
,,,EUR,,,CRB4210500
,,,EUR,,,CRB4093500
,,,EUR,,,CRB4086500
,,"98,000€",EUR,,,CRN6729417
,,"184,000€",EUR,,,CRN7424526
,,,EUR,,,CRN4815300
,,,EUR,,,CRN4127500
,,,EUR,,,CRN4127300
,,,EUR,,,CRB4232100
,,,EUR,,,CRB4232000
,,,EUR,,,CRB4093600
,,,EUR,,,CRB4087100
